alg time sample
selection 1153 20000
insertion 1216 20000
quick 18 20000
merge 24 20000
hybrid 16 20000
counting 10 20000
extended 12 20000
selection 1218 21000
insertion 1356 21000
quick 6 21000
merge 61 21000
hybrid 56 21000
counting 5 21000
extended 8 21000
selection 1643 22000
insertion 1486 22000
quick 6 22000
merge 16 22000
hybrid 37 22000
counting 2 22000
extended 4 22000
selection 1359 23000
insertion 1601 23000
quick 6 23000
merge 7 23000
hybrid 6 23000
counting 2 23000
extended 3 23000
selection 1425 24000
insertion 1757 24000
quick 6 24000
merge 8 24000
hybrid 7 24000
counting 2 24000
extended 2 24000
selection 1587 25000
insertion 1950 25000
quick 7 25000
merge 11 25000
hybrid 7 25000
counting 1 25000
extended 1 25000
selection 1871 26000
insertion 2126 26000
quick 8 26000
merge 9 26000
hybrid 7 26000
counting 1 26000
extended 1 26000
selection 2019 27000
insertion 2292 27000
quick 8 27000
merge 9 27000
hybrid 8 27000
counting 1 27000
extended 1 27000
selection 3939 28000
insertion 2469 28000
quick 8 28000
merge 10 28000
hybrid 8 28000
counting 1 28000
extended 1 28000
selection 2330 29000
insertion 2631 29000
quick 8 29000
merge 10 29000
hybrid 8 29000
counting 2 29000
extended 1 29000
selection 2493 30000
insertion 2818 30000
quick 8 30000
merge 13 30000
hybrid 9 30000
counting 1 30000
extended 1 30000
selection 2665 31000
insertion 3019 31000
quick 10 31000
merge 12 31000
hybrid 10 31000
counting 1 31000
extended 1 31000
selection 2838 32000
insertion 3205 32000
quick 9 32000
merge 12 32000
hybrid 10 32000
counting 2 32000
extended 1 32000
selection 3018 33000
insertion 3457 33000
quick 10 33000
merge 12 33000
hybrid 9 33000
counting 1 33000
extended 1 33000
selection 3221 34000
insertion 3976 34000
quick 10 34000
merge 12 34000
hybrid 10 34000
counting 1 34000
extended 1 34000
selection 6270 35000
insertion 3860 35000
quick 10 35000
merge 13 35000
hybrid 11 35000
counting 1 35000
extended 2 35000
selection 6602 36000
insertion 4083 36000
quick 11 36000
merge 13 36000
hybrid 11 36000
counting 1 36000
extended 2 36000
selection 6977 37000
insertion 4334 37000
quick 10 37000
merge 14 37000
hybrid 11 37000
counting 2 37000
extended 1 37000
selection 7364 38000
insertion 4544 38000
quick 11 38000
merge 14 38000
hybrid 12 38000
counting 1 38000
extended 2 38000
selection 7717 39000
insertion 4822 39000
quick 11 39000
merge 14 39000
hybrid 12 39000
counting 1 39000
extended 1 39000
selection 8120 40000
insertion 5088 40000
quick 12 40000
merge 15 40000
hybrid 13 40000
counting 2 40000
extended 2 40000
