alg time sample
selection 1095 20000
insertion 1551 20000
quick 21 20000
merge 33 20000
hybrid 18 20000
counting 12 20000
extended 47 20000
selection 1620 21000
insertion 1576 21000
quick 5 21000
merge 60 21000
hybrid 42 21000
counting 5 21000
extended 7 21000
selection 2552 22000
insertion 3909 22000
quick 7 22000
merge 22 22000
hybrid 46 22000
counting 5 22000
extended 9 22000
selection 2259 23000
insertion 3267 23000
quick 6 23000
merge 111 23000
hybrid 126 23000
counting 3 23000
extended 3 23000
selection 4109 24000
insertion 4425 24000
quick 12 24000
merge 21 24000
hybrid 20 24000
counting 11 24000
extended 3 24000
selection 3806 25000
insertion 2703 25000
quick 5 25000
merge 7 25000
hybrid 6 25000
counting 2 25000
extended 2 25000
selection 2804 26000
insertion 2626 26000
quick 6 26000
merge 9 26000
hybrid 12 26000
counting 2 26000
extended 2 26000
selection 4526 27000
insertion 3496 27000
quick 11 27000
merge 13 27000
hybrid 12 27000
counting 5 27000
extended 2 27000
selection 4671 28000
insertion 6236 28000
quick 11 28000
merge 15 28000
hybrid 14 28000
counting 1 28000
extended 2 28000
selection 3443 29000
insertion 7520 29000
quick 13 29000
merge 16 29000
hybrid 14 29000
counting 2 29000
extended 2 29000
selection 4468 30000
insertion 5199 30000
quick 16 30000
merge 24 30000
hybrid 16 30000
counting 2 30000
extended 2 30000
selection 5449 31000
insertion 7147 31000
quick 13 31000
merge 16 31000
hybrid 15 31000
counting 1 31000
extended 2 31000
selection 5631 32000
insertion 7618 32000
quick 9 32000
merge 12 32000
hybrid 10 32000
counting 2 32000
extended 2 32000
selection 6566 33000
insertion 4962 33000
quick 13 33000
merge 17 33000
hybrid 16 33000
counting 5 33000
extended 2 33000
selection 8508 34000
insertion 8698 34000
quick 17 34000
merge 25 34000
hybrid 19 34000
counting 2 34000
extended 2 34000
selection 7518 35000
insertion 3679 35000
quick 12 35000
merge 17 35000
hybrid 17 35000
counting 6 35000
extended 2 35000
selection 9515 36000
insertion 9456 36000
quick 9 36000
merge 13 36000
hybrid 10 36000
counting 1 36000
extended 2 36000
selection 7821 37000
insertion 7899 37000
quick 23 37000
merge 25 37000
hybrid 25 37000
counting 2 37000
extended 4 37000
selection 12703 38000
insertion 10492 38000
quick 10 38000
merge 11 38000
hybrid 11 38000
counting 2 38000
extended 1 38000
selection 7161 39000
insertion 5987 39000
quick 14 39000
merge 20 39000
hybrid 17 39000
counting 2 39000
extended 3 39000
selection 5649 40000
insertion 2975 40000
quick 8 40000
merge 10 40000
hybrid 9 40000
counting 4 40000
extended 1 40000
