alg time sample
quick 46 20000
merge 60 20000
hybrid 27 20000
counting 15 20000
extended 17 20000
quick 11 21000
merge 79 21000
hybrid 65 21000
counting 7 21000
extended 9 21000
quick 6 22000
merge 37 22000
hybrid 60 22000
counting 5 22000
extended 10 22000
quick 9 23000
merge 29 23000
hybrid 68 23000
counting 1 23000
extended 3 23000
quick 9 24000
merge 15 24000
hybrid 12 24000
counting 1 24000
extended 3 24000
quick 8 25000
merge 9 25000
hybrid 8 25000
counting 1 25000
extended 1 25000
quick 7 26000
merge 10 26000
hybrid 9 26000
counting 1 26000
extended 1 26000
quick 7 27000
merge 9 27000
hybrid 9 27000
counting 0 27000
extended 1 27000
quick 7 28000
merge 10 28000
hybrid 9 28000
counting 0 28000
extended 1 28000
quick 8 29000
merge 10 29000
hybrid 12 29000
counting 1 29000
extended 1 29000
quick 8 30000
merge 10 30000
hybrid 10 30000
counting 1 30000
extended 1 30000
quick 8 31000
merge 11 31000
hybrid 10 31000
counting 1 31000
extended 2 31000
quick 12 32000
merge 12 32000
hybrid 11 32000
counting 2 32000
extended 1 32000
quick 9 33000
merge 13 33000
hybrid 12 33000
counting 1 33000
extended 2 33000
quick 12 34000
merge 18 34000
hybrid 14 34000
counting 2 34000
extended 2 34000
quick 10 35000
merge 15 35000
hybrid 13 35000
counting 1 35000
extended 2 35000
quick 10 36000
merge 14 36000
hybrid 12 36000
counting 2 36000
extended 2 36000
quick 10 37000
merge 15 37000
hybrid 14 37000
counting 2 37000
extended 2 37000
quick 10 38000
merge 15 38000
hybrid 13 38000
counting 2 38000
extended 2 38000
quick 11 39000
merge 15 39000
hybrid 14 39000
counting 1 39000
extended 1 39000
quick 11 40000
merge 16 40000
hybrid 15 40000
counting 2 40000
extended 3 40000
